                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.6102,                 53.768,                 4.2252,                      0,                      0,                      0,                      0,                 6.7819,                 69.938,                 4.1667,                0.00014,                0.00014,                0.00014
                      2,                 6.5777,                 62.607,                  4.294,                      0,                      0,                      0,                      0,                 6.7826,                 70.836,                 4.1725,             0.00029881,             0.00029881,             0.00029881
                      3,                  6.534,                 41.332,                 4.1632,                      0,                      0,                      0,                      0,                 6.7818,                  69.77,                 4.1746,             0.00045636,             0.00045636,             0.00045636
                      4,                 6.2205,                 25.197,                 3.9005,                      0,                      0,                      0,                      0,                 6.7735,                 56.267,                 4.1382,             0.00061263,             0.00061263,             0.00061263
                      5,                 5.2598,                 12.755,                 3.0145,                      0,                      0,                      0,                      0,                 6.7603,                 25.602,                 4.2715,             0.00076764,             0.00076764,             0.00076764
                      6,                  3.838,                  6.192,                 2.1927,                      0,                      0,                      0,                      0,                 6.7397,                 25.745,                 4.1188,             0.00092139,             0.00092139,             0.00092139
                      7,                 3.6282,                  5.163,                 1.9386,                      0,                      0,                      0,                      0,                 6.7163,                 26.518,                 4.1035,              0.0010739,              0.0010739,              0.0010739
                      8,                   3.24,                   4.58,                 1.7144,                      0,                      0,                      0,                      0,                 6.7065,                 18.732,                 3.9298,              0.0012251,              0.0012251,              0.0012251
                      9,                 2.8597,                 3.7232,                 1.6243,                      0,                      0,                      0,                      0,                 6.7655,                 54.829,                 4.7018,               0.001375,               0.001375,               0.001375
                     10,                 2.6883,                  3.348,                 1.4609,                      0,                      0,                      0,                      0,                 6.6944,                  26.28,                 4.1965,              0.0015237,              0.0015237,              0.0015237
                     11,                    2.5,                 2.7756,                  1.395,                      0,                      0,                      0,                      0,                 6.1101,                 17.268,                 3.5037,              0.0016711,              0.0016711,              0.0016711
                     12,                 2.3548,                 2.5121,                 1.3677,                  6e-05,                0.00642,                  3e-05,                  1e-05,                  6.136,                 6.4815,                 3.1555,              0.0018172,              0.0018172,              0.0018172
                     13,                  2.226,                 2.2118,                 1.3479,                0.21201,                0.00321,                0.00715,                0.00212,                 4.5248,                  6.655,                 2.3487,               0.001905,               0.001905,               0.001905
                     14,                 2.0223,                 1.9614,                 1.3124,                0.57445,                0.07367,                0.13794,                0.05463,                 3.0951,                 3.5801,                 1.7269,               0.001905,               0.001905,               0.001905
                     15,                  1.998,                 1.7443,                  1.238,                0.58266,                0.10915,                0.17541,                0.07701,                 2.6611,                 3.3663,                  1.584,               0.001897,               0.001897,               0.001897
                     16,                 1.8475,                 1.5593,                 1.1987,                0.87294,                0.31621,                0.44666,                 0.1806,                 2.2828,                 2.7056,                 1.4252,              0.0018891,              0.0018891,              0.0018891
                     17,                 1.7489,                 1.5032,                 1.1589,                0.74126,                0.42857,                0.52526,                0.24728,                 2.0338,                 2.2587,                 1.3333,              0.0018812,              0.0018812,              0.0018812
                     18,                 1.7243,                 1.4177,                 1.1486,                0.73797,                0.60576,                0.63049,                0.20515,                 2.0964,                 1.6281,                 1.2531,              0.0018733,              0.0018733,              0.0018733
                     19,                 1.6753,                 1.3271,                   1.11,                0.88932,                0.72222,                0.80328,                0.43813,                 1.6248,                 1.3409,                 1.1179,              0.0018654,              0.0018654,              0.0018654
                     20,                 1.5505,                 1.2304,                 1.0838,                0.94697,                0.80256,                0.87921,                0.56727,                 1.3199,                 1.0984,                 1.0544,              0.0018574,              0.0018574,              0.0018574
                     21,                 1.5596,                 1.2217,                 1.0772,                 0.9181,                0.80096,                0.87961,                0.53638,                 1.3943,                 1.1169,                 1.0655,              0.0018495,              0.0018495,              0.0018495
                     22,                 1.4658,                 1.1384,                 1.0569,                0.92818,                0.82983,                0.90352,                 0.5372,                 1.3976,                 1.0189,                 1.0452,              0.0018416,              0.0018416,              0.0018416
                     23,                 1.4309,                 1.0752,                 1.0353,                0.96668,                0.86517,                0.92572,                0.59858,                 1.2284,                0.88293,                 1.0057,              0.0018337,              0.0018337,              0.0018337
                     24,                 1.3376,                 1.0127,                 1.0151,                0.91567,                0.83658,                 0.9037,                0.56836,                 1.2624,                0.92199,                 1.0062,              0.0018258,              0.0018258,              0.0018258
                     25,                  1.347,                0.96667,                 1.0154,                0.95622,                0.87647,                0.92917,                0.61081,                 1.1754,                0.77758,                0.98166,              0.0018178,              0.0018178,              0.0018178
                     26,                  1.334,                0.94649,                 1.0083,                0.96781,                0.87319,                0.93481,                 0.5889,                 1.1487,                 0.7422,                0.96004,              0.0018099,              0.0018099,              0.0018099
                     27,                 1.3466,                 0.9281,                0.99641,                0.95199,                0.89085,                 0.9387,                0.54967,                 1.3359,                0.76408,                0.98127,               0.001802,               0.001802,               0.001802
                     28,                 1.2701,                 0.9111,                0.97545,                0.95516,                 0.9053,                0.94699,                0.65332,                  1.059,                0.67398,                0.93277,              0.0017941,              0.0017941,              0.0017941
                     29,                 1.2266,                0.87101,                  0.974,                0.96581,                 0.9069,                0.94961,                0.67271,                 1.0183,                0.65472,                0.92177,              0.0017862,              0.0017862,              0.0017862
                     30,                 1.2245,                 0.8456,                0.95129,                0.95631,                0.91332,                0.95259,                0.64959,                 1.0718,                0.64163,                0.92177,              0.0017782,              0.0017782,              0.0017782
                     31,                 1.1623,                0.80652,                0.94173,                0.97113,                0.89567,                0.94568,                0.62047,                 1.1125,                0.69919,                0.93629,              0.0017703,              0.0017703,              0.0017703
                     32,                   1.15,                   0.81,                0.93761,                0.96318,                0.91653,                0.95382,                0.67934,                 0.9581,                0.60065,                0.91377,              0.0017624,              0.0017624,              0.0017624
                     33,                 1.2497,                 0.8233,                0.96124,                 0.9668,                0.92135,                0.96059,                0.70238,                0.93199,                0.58536,                0.89671,              0.0017545,              0.0017545,              0.0017545
                     34,                 1.1497,                0.77629,                  0.929,                0.96368,                 0.9053,                0.95483,                0.68688,                0.99092,                0.61624,                0.91359,              0.0017466,              0.0017466,              0.0017466
                     35,                 1.0834,                0.73793,                0.92575,                0.97132,                0.91653,                0.96116,                0.70527,                0.97293,                  0.588,                0.91544,              0.0017386,              0.0017386,              0.0017386
                     36,                  1.105,                0.71733,                0.92443,                0.96755,                0.90943,                0.95901,                0.69031,                0.94972,                 0.6165,                0.90519,              0.0017307,              0.0017307,              0.0017307
                     37,                 1.1294,                 0.7165,                0.92361,                0.96162,                0.92456,                0.96454,                0.71605,                 0.8824,                0.53755,                0.89107,              0.0017228,              0.0017228,              0.0017228
                     38,                 1.1266,                0.72407,                0.91144,                0.98083,                0.90353,                 0.9559,                 0.7041,                 0.9325,                0.55422,                0.89905,              0.0017149,              0.0017149,              0.0017149
                     39,                 1.0638,                0.69009,                0.91271,                0.97449,                0.92937,                0.96747,                0.69439,                0.89388,                0.56419,                0.88623,               0.001707,               0.001707,               0.001707
                     40,                 1.0393,                0.66167,                0.90813,                0.96965,                0.91814,                0.96261,                0.72903,                0.88074,                0.57413,                0.88894,               0.001699,               0.001699,               0.001699
                     41,                  1.032,                0.67287,                0.91981,                0.97373,                0.92777,                0.96932,                 0.7271,                0.87758,                0.52022,                0.88364,              0.0016911,              0.0016911,              0.0016911
                     42,                 1.0353,                0.65503,                0.91281,                0.97566,                0.91974,                0.97002,                0.73554,                 0.9057,                0.54533,                0.88523,              0.0016832,              0.0016832,              0.0016832
                     43,                 1.0494,                0.67087,                 0.9191,                0.97262,                0.91222,                0.96728,                0.70696,                0.96029,                0.58117,                0.90106,              0.0016753,              0.0016753,              0.0016753
                     44,                 1.0092,                0.64067,                0.91333,                0.96977,                0.92674,                0.96107,                0.72304,                0.87411,                0.60988,                0.89396,              0.0016674,              0.0016674,              0.0016674
                     45,                 1.0313,                0.64899,                0.90868,                0.96886,                0.93419,                0.96998,                0.73952,                0.86627,                0.53662,                  0.881,              0.0016594,              0.0016594,              0.0016594
